artifact	column	position
raw	PVP01_1427400	697
raw	PVP01_1427500	698
raw	PVP01_1427600	699
raw	PVP01_1427700	700
raw	PVP01_1427800	701
raw	PVP01_1427900	702
raw	PVP01_1428000	703
raw	PVP01_1428100	704
raw	PVP01_1428200	705
raw	PVP01_1428300	706
raw	PVP01_1428400	707
raw	PVP01_1428500	708
raw	PVP01_1428600	709
raw	PVP01_1428700	710
raw	PVP01_1428900	711
raw	PVP01_1429000	712
raw	PVP01_1429200	713
raw	PVP01_1429300	714
raw	PVP01_1429400	715
raw	PVP01_1429500	716
raw	PVP01_1429600	717
raw	PVP01_1429700	718
raw	PVP01_1429800	719
raw	PVP01_1429900	720
raw	PVP01_1430000	721
raw	PVP01_1430200	722
raw	PVP01_1430300	723
raw	PVP01_1430400	724
raw	PVP01_1430500	725
raw	PVP01_1430700	726
raw	PVP01_1430800	727
raw	PVP01_1430900	728
raw	PVP01_1430950	729
raw	PVP01_1431000	730
raw	PVP01_1431200	731
raw	PVP01_1431300	732
raw	PVP01_1431400	733
raw	PVP01_1431500	734
raw	PVP01_1431600	735
raw	PVP01_1431700	736
raw	PVP01_1431800	737
raw	PVP01_1432000	738
raw	PVP01_1432100	739
raw	PVP01_1432200	740
raw	PVP01_1432300	741
raw	PVP01_1432400	742
raw	PVP01_1432500	743
raw	PVP01_1432600	744
raw	PVP01_1432800	745
raw	PVP01_1432900	746
raw	PVP01_1433000	747
raw	PVP01_1433300	748
raw	PVP01_1433400	749
raw	PVP01_1433600	750
raw	PVP01_1433700	751
raw	PVP01_1433800	752
raw	PVP01_1434100	753
raw	PVP01_1434200	754
raw	PVP01_1434300	755
raw	PVP01_1434400	756
raw	PVP01_1434500	757
raw	PVP01_1434700	758
raw	PVP01_1434800	759
raw	PVP01_1434900	760
raw	PVP01_1435000	761
raw	PVP01_1435100	762
raw	PVP01_1435200	763
raw	PVP01_1435300	764
raw	PVP01_1435400	765
raw	PVP01_1435500	766
raw	PVP01_1435700	767
raw	PVP01_1435800	768
raw	PVP01_1435900	769
raw	PVP01_1436100	770
raw	PVP01_1436200	771
raw	PVP01_1436300	772
raw	PVP01_1436400	773
raw	PVP01_1436500	774
raw	PVP01_1436600	775
raw	PVP01_1436700	776
raw	PVP01_1436800	777
raw	PVP01_1436900	778
raw	PVP01_1437000	779
raw	PVP01_1437100	780
raw	PVP01_1437200	781
raw	PVP01_1437300	782
raw	PVP01_1437400	783
raw	PVP01_1437700	784
raw	PVP01_1437800	785
raw	PVP01_1437900	786
raw	PVP01_1438000	787
raw	PVP01_1438100	788
raw	PVP01_1438400	789
raw	PVP01_1438800	790
raw	PVP01_1438900	791
raw	PVP01_1439000	792
raw	PVP01_1439100	793
raw	PVP01_1439200	794
raw	PVP01_1439300	795
raw	PVP01_1439400	796
raw	PVP01_1439600	797
raw	PVP01_1439700	798
raw	PVP01_1440000	799
raw	PVP01_1440100	800
raw	PVP01_1440200	801
raw	PVP01_1440300	802
raw	PVP01_1440400	803
raw	PVP01_1440500	804
raw	PVP01_1440600	805
raw	PVP01_1440700	806
raw	PVP01_1440800	807
