study_label	run_id	host_id	strain	day_post_infection	treatment	host_species	liver_form	cells
Mancio_silva2022	SRR18134284	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Ruberto2022_1	SRR19573609	BioIVT:BGW	Cambodia field isolate	9	MMV390048	infected hepatocyte	Hypnozoite	90
Ruberto2022_1	SRR19573610	BioIVT:BGW	Cambodia field isolate	5	None	infected hepatocyte	Hypnozoite	346
Ruberto2022_1	SRR19573610	BioIVT:BGW	Cambodia field isolate	5	None	infected hepatocyte	Schizont	111
Ruberto2022_1	SRR19573611	BioIVT:BGW	Cambodia field isolate	9	MMV390048	infected hepatocyte	Hypnozoite	255
Ruberto2022_1	SRR19573612	BioIVT:BGW	Cambodia field isolate	5	None	infected hepatocyte	Hypnozoite	456
Ruberto2022_1	SRR19573612	BioIVT:BGW	Cambodia field isolate	5	None	infected hepatocyte	Schizont	180
Ruberto2022_2	ERR5087438	tax_id-7168	Cambodia field isolate	16	NA	Anopheles dirus	NA	3375
Ruberto2022_2	ERR5087439	tax_id-7168	Cambodia field isolate	18	NA	Anopheles dirus	NA	4002
Ruberto2022_2	ERR5087440	tax_id-7168	Cambodia field isolate	17	NA	Anopheles dirus	NA	2570
Sa2020	SRR11008269	3879	NIH-1993	15	No_Treatment	Saimiri boliviensis	NA	972
Sa2020	SRR11008270	86574	Indonesia-I	16	CQ_(16h_5mg/kg)	Aotus nancymaae	NA	632
Sa2020	SRR11008271	86574	Indonesia-I	12	No_Treatment	Aotus nancymaae	NA	2147
Sa2020	SRR11008272	5541	NIH-1993	21	No_Treatment	Saimiri boliviensis	NA	335
Sa2020	SRR11008273	4215	Chesson	24	No_Treatment	Saimiri boliviensis	NA	237
Sa2020	SRR11008274	86436	Chesson	16	CQ_(16h_10mg/kg)	Aotus nancymaae	NA	478
Sa2020	SRR11008275	86436	Chesson	12	No_Treatment	Aotus nancymaae	NA	1022
Sa2020	SRR11008276	5107	AMRU-I	24	No_Treatment	Saimiri boliviensis	NA	255
Sa2020	SRR11008277	86416	AMRU-I	16	CQ_(16h_10mg/kg)	Aotus nancymaae	NA	1960
Sa2020	SRR11008278	86416	AMRU-I	12	No_Treatment	Aotus nancymaae	NA	1728
